,Rated power in kVA,Transformer unit price in EUR,Outlier,Project name
0,19080.0,708000.0,False,Best1 - USA - ABB - Project Hydrogen Mitshubishi US for Oil Transformers.pdf
1,11000.0,235000.0,False,Quote Celduc1.00.pdf
2,12000.0,267000.0,False,Celme_21-Celme1.pdf
4,12000.0,267000.0,False,Celme_21-Celme1.pdf
6,5000.0,56200.0,False,QT-20-Hitachi17_Rev-1.pdf
7,6500.0,79500.0,False,QT-20-Hitachi1_Rev1.pdf
8,6000.0,127000.0,False,QT-20-Hitachi2_Rev0.pdf
10,12000.0,195000.0,False,QT-21-Hitachi11_Rev1.pdf
11,12000.0,195000.0,False,QUOTATION Sonmez4.pdf
12,2500.0,291000.0,True,QT-21-Hitachi12_Rev1_EN_H4A.pdf
13,1000.0,78750.0,False,QT-21-Hitachi12_Rev1_EN_H4A.pdf
14,2800.0,63600.0,False,QT-21-Hitachi15_Rev.0.pdf
15,1500.0,33660.0,False,QT-22-Hitachi10_Rev0.pdf
16,315.0,20490.0,False,QT-22-Hitachi10_Rev0.pdf
17,1800.0,35300.0,False,QT-22-Hitachi10_Rev0.pdf
18,2000.0,361500.0,True,QT-22-Hitachi13_Rev1_EN_H4A.pdf
19,1000.0,23100.0,False,QT-22-Hitachi16_Rev6.pdf
21,1250.0,28240.0,False,QT-22-Hitachi20_Rev1.pdf
23,2500.0,29980.0,False,
24,1000.0,29980.0,False,QT-22-Hitachi21_Rev0.pdf
25,15000.0,197000.0,False,QT-22-Hitachi5_Rev0_EN_H4A.pdf
26,8000.0,192000.0,False,
27,5400.0,72000.0,False,RDOSea1A.pdf
28,5400.0,78000.0,False,RDOSea1A.pdf
29,11000.0,362000.0,False,RDOSea2C.pdf
30,22000.0,715000.0,False,RDOSea2C.pdf
31,15000.0,398000.0,False,RDOSea3A.pdf
32,8000.0,150000.0,False,2022 08 03 SGB Ang SGB4 R00.pdf
34,8000.0,150000.0,False,SGB4-Datasheet.pdf
36,8000.0,150000.0,False,2022 08 03 SGB Ang SGB4 R00.pdf
38,8000.0,150000.0,False,SGB4-Datasheet.pdf
40,12000.0,620000.0,True,Burget Price SGB7.pdf
56,1000.0,25900.0,False,SGB Ang SGB10 R03_signed.pdf
57,1300.0,40000.0,False,SGB Ang SGB10 R03.pdf
