,date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_loss,full_load_loss_75,full_load_loss_120,rated_volt_primary_side
0,2021-04-28,6.0,EUR,708000.0,Oil,19080.0,Copper,Copper,19002.544911490855,150154.15565033566,187698.23398060052,33000.0
3,2023-03-14,4.0,EUR,235000.0,Oil,11000.0,Copper,Copper,11825.516231377756,89149.54616609518,108715.88804440777,20000.0
8,2021-09-30,5.0,EUR,267000.0,Oil,12000.0,Copper,Copper,8000.0,138000.0,146000.0,21000.0
9,2021-09-30,5.0,EUR,267000.0,Oil,12000.0,Copper,Copper,8000.0,138000.0,146000.0,24000.0
10,2020-12-02,1.0,EUR,56200.0,Dry,5000.0,Aluminum,Aluminum,5000.0,53043.0,61000.0,11000.0
11,2020-12-09,3.0,EUR,79500.0,Dry,6500.0,Aluminum,Copper,5500.0,83478.0,96000.0,6600.0
12,2020-06-03,26.0,EUR,127000.0,Dry,6000.0,Aluminum,Aluminum,9500.0,56520.0,65000.0,33000.0
13,2020-06-03,26.0,EUR,127000.0,Dry,6000.0,Aluminum,Aluminum,9500.0,56520.0,65000.0,33000.0
14,2021-08-12,1.0,EUR,195000.0,Dry,12000.0,Aluminum,Aluminum,15000.0,113043.0,130000.0,21000.0
15,2022-03-17,1.0,EUR,291000.0,Dry,2500.0,Aluminum,Aluminum,2790.0,16522.0,19000.0,20000.0
16,2022-03-17,2.0,EUR,78750.0,Dry,1000.0,Aluminum,Aluminum,1395.0,7826.0,9000.0,20000.0
17,2021-06-08,1.0,EUR,63600.0,Dry,2800.0,Aluminum,Aluminum,5200.0,18261.0,21000.0,20000.0
19,2022-09-09,1.0,EUR,33660.0,Dry,1500.0,Aluminum,Aluminum,1980.0,17423.829569525296,13000.0,10000.0
20,2022-09-09,2.0,EUR,20490.0,Dry,315.0,Aluminum,Aluminum,558.0,8476.990183532107,3877.0,10000.0
21,2022-09-09,2.0,EUR,35300.0,Dry,1800.0,Aluminum,Aluminum,2160.0,19688.852198890665,14500.0,10000.0
22,2023-02-15,1.0,EUR,361500.0,Dry,2000.0,Aluminum,Aluminum,2691.0,21198.86728513424,17600.0,30000.0
24,2022-09-13,2.0,EUR,23100.0,Dry,1000.0,Aluminum,Aluminum,1395.0,13648.791853916358,9000.0,6800.0
25,2022-09-13,2.0,EUR,23100.0,Dry,1000.0,Aluminum,Aluminum,1395.0,13648.791853916358,9000.0,6800.0
26,2022-05-13,1.0,EUR,28240.0,Dry,1250.0,Aluminum,Aluminum,3000.0,8696.0,10000.0,20000.0
27,2022-05-13,1.0,EUR,28240.0,Dry,1250.0,Aluminum,Aluminum,3000.0,8696.0,10000.0,20000.0
28,2022-02-16,2.0,EUR,29980.0,Dry,2500.0,Aluminum,Aluminum,2790.0,16522.0,19000.0,20000.0
29,2022-02-16,2.0,EUR,29980.0,Dry,1000.0,Aluminum,Aluminum,1395.0,7826.0,9000.0,21500.0
32,2022-08-18,1.0,EUR,197000.0,Dry,15000.0,Aluminum,Aluminum,14000.0,130435.0,150000.0,6300.0
33,2022-07-19,4.0,EUR,192000.0,Dry,8000.0,Aluminum,Aluminum,12000.0,82608.0,95000.0,33000.0
35,2021-02-11,1.0,EUR,72000.0,Dry,5400.0,Aluminum,Aluminum,11800.0,35500.0,40000.0,21000.0
36,2021-02-11,2.0,EUR,78000.0,Dry,5400.0,Aluminum,Aluminum,11800.0,35500.0,40000.0,21000.0
37,2023-03-27,4.0,EUR,362000.0,Oil,11000.0,Aluminum,Aluminum,10300.0,75000.0,108715.88804440777,22000.0
38,2023-03-27,2.0,EUR,715000.0,Oil,22000.0,Aluminum,Aluminum,16500.0,180000.0,216241.3589971454,22000.0
39,2023-03-07,21.0,EUR,398000.0,Oil,15000.0,Aluminum,Aluminum,9000.0,120000.0,147816.05929994874,20000.0
44,2022-08-02,16.0,EUR,150000.0,Dry,8000.0,Copper,Copper,9160.777860048636,66499.31987244153,79390.75960275205,20000.0
45,2022-08-02,16.0,EUR,150000.0,Dry,8000.0,Copper,Aluminum,9160.777860048636,66499.31987244153,79390.75960275205,20000.0
