,date,quantity,transformer_unit_price,rated_power_kVA,no_load_loss,full_load_loss_75,full_load_loss_120,rated_volt_primary_side,alu_price_per_kg,alu_price_per_kg_30d_diff,copper_price_per_kg,copper_price_per_kg_30d_diff,dry_or_oil_Oil,primary_winding_Copper,secondary_winding_Copper,log_no_load_loss
0,2021-04-28,6.0,708000.0,19080.0,19002.54491149085,150154.15565033566,187698.2339806005,33000.0,2.397,0.05235429700362193,10.002381389642611,0.12218647811137129,True,True,True,14.21390502364893
1,2023-03-14,4.0,235000.0,11000.0,11825.516231377756,89149.54616609518,108715.88804440777,20000.0,2.31675,-0.046212433100041195,8.841646136227343,-0.004221029849827307,True,True,True,13.529615543933774
2,2021-09-30,5.0,267000.0,12000.0,8000.0,138000.0,146000.0,21000.0,2.903,0.05707783340919437,9.01691421495064,-0.06192659923358246,True,True,True,12.965784284662087
3,2021-09-30,5.0,267000.0,12000.0,8000.0,138000.0,146000.0,24000.0,2.903,0.05707783340919437,9.01691421495064,-0.06192659923358246,True,True,True,12.965784284662087
4,2020-12-02,1.0,56200.0,5000.0,5000.0,53043.0,61000.0,11000.0,2.0585,0.09889229947951406,7.661069649889258,0.130632828164158,False,False,False,12.287712379549449
5,2020-12-09,3.0,79500.0,6500.0,5500.0,83478.0,96000.0,6600.0,2.03825,0.0726220234179713,7.733822238935374,0.11312070819131814,False,False,True,12.425215903299383
6,2020-06-03,26.0,127000.0,6000.0,9500.0,56520.0,65000.0,33000.0,1.5725,0.06321839080459757,5.503844898628699,0.07422553454904923,False,False,False,13.213711798105672
7,2020-06-03,26.0,127000.0,6000.0,9500.0,56520.0,65000.0,33000.0,1.5725,0.06321839080459757,5.503844898628699,0.07422553454904923,False,False,False,13.213711798105672
8,2021-08-12,1.0,195000.0,12000.0,15000.0,113043.0,130000.0,21000.0,2.5935,0.013382827000097741,9.603343856580889,0.009618749089594036,False,False,False,13.872674880270605
9,2022-03-17,1.0,291000.0,2500.0,2790.0,16522.0,19000.0,20000.0,3.31625,0.013368983957219305,10.340790363503448,0.03508770268342043,False,False,False,11.44604940671655
10,2022-03-17,2.0,78750.0,1000.0,1395.0,7826.0,9000.0,20000.0,3.31625,0.013368983957219305,10.340790363503448,0.03508770268342043,False,False,False,10.44604940671655
11,2021-06-08,1.0,63600.0,2800.0,5200.0,18261.0,21000.0,20000.0,2.47075,-0.03306917131396159,10.059701675027238,-0.04259328590040701,False,False,False,12.344295907915816
12,2022-09-09,1.0,33660.0,1500.0,1980.0,17423.829569525296,13000.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,False,False,False,10.951284714966972
13,2022-09-09,2.0,20490.0,315.0,558.0,8476.990183532107,3877.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,False,False,False,9.124121311829187
14,2022-09-09,2.0,35300.0,1800.0,2160.0,19688.852198890665,14500.0,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,False,False,False,11.076815597050832
15,2023-02-15,1.0,361500.0,2000.0,2691.0,21198.86728513424,17600.0,30000.0,2.35475,-0.09502305918524201,8.933138251504364,-0.03695779818302092,False,False,False,11.393926675640417
16,2022-09-13,2.0,23100.0,1000.0,1395.0,13648.791853916358,9000.0,6800.0,2.2995,-0.0504800247754722,7.894760246312514,-0.025843314895025116,False,False,False,10.44604940671655
17,2022-09-13,2.0,23100.0,1000.0,1395.0,13648.791853916358,9000.0,6800.0,2.2995,-0.0504800247754722,7.894760246312514,-0.025843314895025116,False,False,False,10.44604940671655
18,2022-05-13,1.0,28240.0,1250.0,3000.0,8696.0,10000.0,20000.0,2.774,-0.13494971544398537,9.21643245585808,-0.11185463628172743,False,False,False,11.550746785383243
19,2022-05-13,1.0,28240.0,1250.0,3000.0,8696.0,10000.0,20000.0,2.774,-0.13494971544398537,9.21643245585808,-0.11185463628172743,False,False,False,11.550746785383243
20,2022-02-16,2.0,29980.0,2500.0,2790.0,16522.0,19000.0,20000.0,3.32,0.12058054172643651,10.010097541473357,0.029241797028098926,False,False,False,11.44604940671655
21,2022-02-16,2.0,29980.0,1000.0,1395.0,7826.0,9000.0,21500.0,3.32,0.12058054172643651,10.010097541473357,0.029241797028098926,False,False,False,10.44604940671655
22,2022-08-18,1.0,197000.0,15000.0,14000.0,130435.0,150000.0,6300.0,2.3935,-0.0016684045881125709,8.039163192089413,0.10785356500051568,False,False,False,13.77313920671969
23,2022-07-19,4.0,192000.0,8000.0,12000.0,82608.0,95000.0,33000.0,2.3975,-0.025802519301097115,7.256521480874298,-0.18070935804364652,False,False,False,13.550746785383243
24,2021-02-11,1.0,72000.0,5400.0,11800.0,35500.0,40000.0,21000.0,2.084,0.03398660382039198,8.35001478119669,0.05062410113550753,False,False,False,13.526499239136566
25,2021-02-11,2.0,78000.0,5400.0,11800.0,35500.0,40000.0,21000.0,2.084,0.03398660382039198,8.35001478119669,0.05062410113550753,False,False,False,13.526499239136566
26,2023-03-27,4.0,362000.0,11000.0,10300.0,75000.0,108715.88804440777,22000.0,2.34175,0.020592721725866125,9.048880528965526,0.03780022656697968,True,False,False,13.330356716957944
27,2023-03-27,2.0,715000.0,22000.0,16500.0,180000.0,216241.3589971454,22000.0,2.34175,0.020592721725866125,9.048880528965526,0.03780022656697968,True,False,False,14.010178404020541
28,2023-03-07,21.0,398000.0,15000.0,9000.0,120000.0,147816.05929994874,20000.0,2.32875,-0.08676470588235297,8.788735305727466,-0.018828494604158807,True,False,False,13.1357092861044
29,2022-08-02,16.0,150000.0,8000.0,9160.777860048636,66499.31987244153,79390.75960275205,20000.0,2.3865,-0.0011509888040180938,7.770198533458431,-0.02611220390869451,False,True,True,13.161254390319302
30,2022-08-02,16.0,150000.0,8000.0,9160.777860048636,66499.31987244153,79390.75960275205,20000.0,2.3865,-0.0011509888040180938,7.770198533458431,-0.02611220390869451,False,True,False,13.161254390319302
31,2021-09-08,5.0,620000.0,12000.0,12713.762355154133,96699.62159731306,118490.93085829302,21000.0,2.8185,0.09637265389477778,9.32997026868858,-0.012829555137756188,True,True,True,13.634103406580438
32,2021-09-08,5.0,620000.0,12000.0,12713.762355154133,96699.62159731306,118490.93085829302,21000.0,2.8185,0.09637265389477778,9.32997026868858,-0.012829555137756188,True,True,True,13.634103406580438
33,2021-09-08,5.0,620000.0,12000.0,12713.762355154133,96699.62159731306,118490.93085829302,21000.0,2.8185,0.09637265389477778,9.32997026868858,-0.012829555137756188,True,True,True,13.634103406580438
34,2021-09-08,5.0,620000.0,12000.0,12713.762355154133,96699.62159731306,118490.93085829302,21000.0,2.8185,0.09637265389477778,9.32997026868858,-0.012829555137756188,True,True,True,13.634103406580438
35,2022-08-04,1.0,25900.0,1000.0,2943.0549936140224,13648.791853916358,10965.459905555386,20000.0,2.37275,0.013129803586678035,7.678706943804832,0.016934332422052112,False,False,False,11.523098785239059
36,2022-08-04,5.0,40000.0,1300.0,3209.528830746934,15913.814483281722,13897.97274972096,20000.0,2.37275,0.013129803586678035,7.678706943804832,0.016934332422052112,False,False,False,11.648145805237894
37,2022-08-04,1.0,25900.0,1000.0,2943.0549936140224,13648.791853916358,10965.459905555386,6000.0,2.37275,0.013129803586678035,7.678706943804832,0.016934332422052112,False,True,True,11.523098785239059
38,2022-08-04,1.0,25900.0,1000.0,2943.0549936140224,13648.791853916358,10965.459905555386,20000.0,2.37275,0.013129803586678035,7.678706943804832,0.016934332422052112,False,False,False,11.523098785239059
39,2022-08-04,5.0,40000.0,1300.0,3209.528830746934,15913.814483281722,13897.97274972096,6000.0,2.37275,0.013129803586678035,7.678706943804832,0.016934332422052112,False,False,False,11.648145805237894
40,2022-08-04,1.0,25900.0,1000.0,2943.0549936140224,13648.791853916358,10965.459905555386,6000.0,2.37275,0.013129803586678035,7.678706943804832,0.016934332422052112,False,True,False,11.523098785239059
41,2023-03-17,3.0,46700.0,2000.0,3831.301117390396,21198.86728513424,20740.502719440625,20000.0,2.22925,-0.0532965282938741,8.627797823973745,-0.03418064502463036,False,False,False,11.903618702095498
42,2021-07-26,5.0,111000.0,7000.0,8272.531736272264,58949.24444122365,69615.71678886682,20000.0,2.542,0.015987210231814597,10.117021960411863,0.06745765366380407,False,False,False,13.01411320588407
43,2021-07-26,5.0,111000.0,7000.0,8272.531736272264,58949.24444122365,69615.71678886682,20000.0,2.542,0.015987210231814597,10.117021960411863,0.06745765366380407,False,False,False,13.01411320588407
44,2021-08-13,10.0,125000.0,12000.0,12713.762355154133,96699.62159731306,118490.93085829302,20000.0,2.618,0.029695181907571255,9.671687516365676,0.025718993404217017,False,False,False,13.634103406580438
45,2022-11-09,10.0,155000.0,11400.0,12180.814680888308,92169.57633858234,112625.90516996189,30000.0,2.32975,0.03177590788308238,8.24860204945826,0.08339361971591486,False,True,True,13.572323006781543
46,2020-10-05,1.0,206000.0,6500.0,11750.0,76000.0,64728.195381924204,20000.0,1.7835,0.008054260279779513,6.536711216620469,-0.0267520283187902,True,True,True,13.520373136339725
47,2020-06-10,26.0,99000.0,6000.0,7384.28561249589,51399.16901000577,59840.67397498158,33000.0,1.633,0.10133198448828185,5.857687227397868,0.11544924386677713,False,True,True,12.85024263988881
48,2022-09-09,2.0,37250.0,1800.0,2400.0,14500.0,18785.49415666358,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,True,True,False,11.228818690495881
49,2022-09-09,1.0,30710.0,1500.0,1877.0,12429.0,15852.981312498006,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,True,True,False,10.874212934830874
50,2022-09-09,2.0,11340.0,250.0,468.0,3400.0,3634.1777951414574,10000.0,2.27575,-0.07966838540086951,7.894760246312514,-0.020380207037727804,True,True,True,8.870364719583405
51,2023-02-10,2.0,580000.0,15000.0,16000.0,110000.0,147816.05929994874,10300.0,2.429,-0.030822942643391582,8.879125188689153,-0.03056922729769629,True,True,True,13.965784284662087
52,2023-02-10,0.0,5500.0,15000.0,16000.0,110000.0,147816.05929994874,10300.0,2.429,-0.030822942643391582,8.879125188689153,-0.03056922729769629,True,True,True,13.965784284662087
53,2021-09-09,2.0,34500.0,1600.0,3500.0,12000.0,16830.48559388653,20000.0,2.86425,0.10301338211225564,9.443509132765923,-0.01562675841576744,False,False,False,11.77313920671969
54,2021-09-09,1.0,36600.0,1400.0,3900.0,16668.82202640351,14000.0,20000.0,2.86425,0.10301338211225564,9.443509132765923,-0.01562675841576744,False,False,False,11.929258408636972
55,2021-09-09,1.0,51000.0,3000.0,6000.0,22000.0,30515.545533325865,20000.0,2.86425,0.10301338211225564,9.443509132765923,-0.01562675841576744,False,False,False,12.550746785383243
56,2021-09-09,1.0,23500.0,630.0,1900.0,10855.26394436574,7348.694064417848,20000.0,2.86425,0.10301338211225564,9.443509132765923,-0.01562675841576744,False,False,False,10.89178370321831
57,2021-11-03,10.0,265000.0,12000.0,21000.0,96699.62159731306,118490.93085829302,21000.0,2.7125,-0.08276270183447465,9.537205712673607,0.01872134653917179,False,False,True,14.358101707440847
58,2021-11-03,10.0,210000.0,12000.0,11000.0,78000.0,118490.93085829302,21000.0,2.7125,-0.08276270183447465,9.537205712673607,0.01872134653917179,True,True,True,13.425215903299383
59,2021-07-29,10.0,195000.0,12000.0,6000.0,84000.0,118490.93085829302,21000.0,2.62075,0.020144024912417402,9.9649023371808,0.05693902561540298,True,True,True,12.550746785383243
60,2022-08-22,2.0,629000.0,12000.0,19000.0,180000.0,118490.93085829302,20000.0,2.37725,-0.04258960934353606,8.09207402258929,0.09616246839449705,True,True,True,14.213711798105672
61,2022-08-22,1.0,301000.0,12000.0,9000.0,88000.0,88000.0,20000.0,2.37725,-0.04258960934353606,8.09207402258929,0.09616246839449705,True,True,True,13.1357092861044
62,2021-09-02,1.0,139000.0,6113.0,9600.0,40000.0,60945.25381295061,6000.0,2.72325,0.04429105550762169,9.457838678488658,-0.0212183293031184,False,False,False,13.228818690495881
63,2021-09-02,1.0,75000.0,2039.0,5500.0,20000.0,21121.72938918215,6000.0,2.72325,0.04429105550762169,9.457838678488658,-0.0212183293031184,False,False,False,12.425215903299383
64,2021-08-26,12.0,215000.0,5400.0,11500.0,26000.0,53975.64828665044,21000.0,2.6555,0.05575986482457007,9.360834876011555,-0.0659921228515451,False,False,False,13.4893462407191
65,2021-08-26,12.0,175000.0,10800.0,6100.0,82000.0,106760.87948163072,21000.0,2.6555,0.05575986482457007,9.360834876011555,-0.0659921228515451,True,False,False,12.57459352733761
66,2021-11-03,5.0,216000.0,5400.0,9000.0,25000.0,53975.64828665044,30000.0,2.7125,-0.08276270183447465,9.537205712673607,0.01872134653917179,False,False,False,13.1357092861044
67,2022-08-15,5.0,81000.0,1325.0,3700.0,15000.0,14142.34882006809,6800.0,2.377,-0.0012605042016806678,8.00058190731227,0.12196630871569014,False,False,False,11.853309555403674
68,2022-08-15,1.0,70000.0,1000.0,2700.0,10000.0,10965.459905555386,6800.0,2.377,-0.0012605042016806678,8.00058190731227,0.12196630871569014,False,False,False,11.398743691938193
69,2022-03-09,10.0,7300.0,15000.0,13000.0,126000.0,145000.0,20000.0,3.2865,0.03748717543998126,10.061906139657902,0.022974326571077563,False,False,False,13.66622400280318
