date,quantity,suppliers_currency,transformer_unit_price,dry_or_oil,rated_power_kVA,primary_winding,secondary_winding,no_load_losses,full_load_losses_75,full_load_losses_120,rated_volt_primary_side,filename
28-April-21,6,EUR,708000,Oil,19080.0,,,,,,33.0,Best1 - USA - ABB - Project Hydrogen Mitshubishi US for Oil Transformers.pdf
22.04.2021,1,,,Oil,19080.0,,,17000.0,90000.0,,33.0,Best2 - A0R0 - BEST Technical Datasheet.pdf
2021-04-22,1,EUR,,Oil,19080.0,,,17000.0,90000.0,,33.75,Best2 - A0R0 - BEST Technical Datasheet.pdf
14/03/2023,4,EUR,235000,Oil,11000.0,,,,,,,Quote Celduc1.00.pdf
2023-03-14,4,,,Oil,11000.0,Copper,Copper,7800.0,88000.0,,22.0,Technical Celduc1.00.pdf
2023-03-14,4,,,Oil,11000.0,Copper,,7800.0,,88000.0,22.0,Technical Celduc1.00.pdf
14/03/2023,1,,,Oil,11000.0,Copper,,7800.0,88000.0,,22.0,Technical Celduc1.00.pdf
2023-03-14,4,,,Oil,11000.0,Copper,,7800.0,88000.0,,22.0,Technical Celduc1.00.pdf
30/09/2021,5,EUR,267000,Oil,12000.0,Copper,Copper,8000.0,138000.0,146000.0,21.0,Celme_21-Celme1.pdf
30/09/2021,5,EUR,267000,Oil,12000.0,Copper,Copper,8000.0,138000.0,146000.0,21.0,Celme_21-Celme1.pdf
02.12.2020,1,EUR,56200,Dry,5000.0,Aluminium,Aluminium,5000.0,53043.0,61000.0,11.0,QT-20-Hitachi17_Rev-1.pdf
09.12.2020,3,EUR,79500,Dry,6500.0,Aluminium,Aluminium,5500.0,83478.0,96000.0,6.6,QT-20-Hitachi1_Rev1.pdf
03-06-2020,26,EUR,127000,Dry,6000.0,Aluminium,Aluminium,9500.0,56520.0,65000.0,33.0,QT-20-Hitachi2_Rev0.pdf
12.08.2021,1,EUR,195000,Dry,12000.0,Aluminium,Aluminium,15000.0,113043.0,130000.0,21.0,QT-21-Hitachi11_Rev1.pdf
17.03.2022,1,EUR,291000,Dry,2500.0,Aluminium,Aluminium,2790.0,16522.0,19000.0,20.0,QT-21-Hitachi12_Rev1_EN_H4A.pdf
17.03.2022,2,EUR,78750,Dry,1000.0,Aluminium,Aluminium,1395.0,7826.0,9000.0,20.0,QT-21-Hitachi12_Rev1_EN_H4A.pdf
08.06.2021,1,EUR,63600,Dry,2800.0,Aluminium,Aluminium,5200.0,18261.0,21000.0,20.0,QT-21-Hitachi15_Rev.0.pdf
14.12.2021,10,EUR,1760000,Dry,15000.0,Aluminium,Aluminium,19000.0,117391.0,135000.0,33.0,QT-21-Hitachi7_Rev0.pdf
09.09.2022,1,EUR,33660,Dry,1500.0,Aluminium,Aluminium,1980.0,,13000.0,10.0,QT-22-Hitachi10_Rev0.pdf
09.09.2022,2,EUR,20490,Dry,315.0,Aluminium,Aluminium,558.0,,3877.0,10.0,QT-22-Hitachi10_Rev0.pdf
09.09.2022,2,EUR,35300,Dry,1800.0,Aluminium,Aluminium,2160.0,,14500.0,10.0,QT-22-Hitachi10_Rev0.pdf
15.02.2023,1,EUR,361500,Dry,2000.0,Aluminium,Aluminium,2691.0,,17600.0,30.0,QT-22-Hitachi13_Rev1_EN_H4A.pdf
15.02.2023,2,EUR,1072500,Dry,11400.0,Aluminium,Aluminium,17500.0,,122000.0,30.0,QT-22-Hitachi13_Rev1_EN_H4A.pdf
13.09.2022,1,EUR,210000,Dry,1326.0,Aluminium,Aluminium,2600.0,,14000.0,6.8,QT-22-Hitachi16_Rev6.pdf
13.09.2022,2,EUR,23100,Dry,1000.0,Aluminium,Aluminium,1395.0,,9000.0,6.8,QT-22-Hitachi16_Rev6.pdf
13.05.2022,1,EUR,28240,Dry,1250.0,Aluminium,Aluminium,3000.0,8696.0,10000.0,20.0,QT-22-Hitachi20_Rev1.pdf
16.02.2022,2,EUR,53200,Dry,2500.0,Aluminium,Aluminium,2790.0,16522.0,19000.0,20.0,QT-22-Hitachi21_Rev0.pdf
16.02.2022,2,EUR,29980,Dry,1000.0,Aluminium,Aluminium,1395.0,7826.0,9000.0,21.5,QT-22-Hitachi21_Rev0.pdf
11.03.2022,10,EUR,162000,Dry,15000.0,Aluminium,Aluminium,14000.0,143478.0,165000.0,22.0,QT-22-Hitachi3_Rev0.pdf
05.08.2022,1,EUR,218000,Dry,15000.0,Aluminium,Aluminium,19000.0,117391.0,135000.0,30.0,QT-22-Hitachi4_Rev0.pdf
18.08.2022,1,EUR,197000,Dry,15000.0,Aluminium,Aluminium,14000.0,130435.0,150000.0,6.3,QT-22-Hitachi5_Rev0_EN_H4A.pdf
19.07.2022,16,EUR,3072000,Dry,8000.0,Aluminium,Aluminium,12000.0,82608.7,95000.0,33.0,QT-22-Hitachi9_Rev0.pdf
06.10.2020,1,,,Oil,1600.0,Copper,Aluminium,,,,24.0,MoreTAS1.pdf
11/02/2021,1,EUR,72000,Dry,5400.0,Aluminium,Aluminium,11800.0,35500.0,40000.0,21.0,RDOSea1A.pdf
11/02/2021,2,EUR,78000,Dry,5400.0,Aluminium,Aluminium,11800.0,35500.0,40000.0,21.0,RDOSea1A.pdf
27/03/2023,4,EUR,362000,Oil,11000.0,Aluminium,Aluminium,10300.0,75000.0,,22.0,RDOSea2C.pdf
27/03/2023,2,EUR,715000,Oil,22000.0,Aluminium,Aluminium,16500.0,180000.0,,22.0,RDOSea2C.pdf
07/03/2023,21,EUR,398000,Oil,15000.0,Aluminium,Aluminium,9000.0,120000.0,,20.0,RDOSea3A.pdf
19.07.2021,1,,,Dry,630.0,Aluminium,Aluminium,990.0,,7100.0,20.0,2021.07.19-EN-Datasheet_SGB3-1000 Rev00 - 630 kVA.pdf
26.07.2021,1,,,Dry,7000.0,Aluminium,Aluminium,6250.0,,73072.0,20.0,2021.07.26-EN-Datasheet_SGB3-2000 Rev00 - 7000 kVA Dy11.pdf
26.07.2021,1,,,Dry,7000.0,Aluminium,Aluminium,6300.0,,72492.0,20.0,2021.07.26-EN-Datasheet_SGB3-3000 Rev00 - 7000 kVA Dd0.pdf
02.08.2022,1,EUR,150000,Dry,8000.0,Aluminium,Aluminium,,,,,2022 08 03 SGB Ang SGB4 R00.pdf
02.08.2022,1,EUR,57500,Dry,,,,,,,,2022 08 03 SGB Ang SGB4 R00.pdf
02.08.2022,16,EUR,150000,Dry,8000.0,Copper,Aluminium,,,,,2022 08 03 SGB Ang SGB4 R00.pdf
08.09.2021,5,EUR,620000,Oil,12000.0,Copper,Copper,,,,21.0,Burget Price SGB7.pdf
